student_id,q0,q1,q1_other,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
1,I do not want to respond to the COVID-19 survey questions.,,,,,,,,,,,,,,,,
2,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,somewhat- depends on professor ,n/a,Easy,,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,,,
3,I am willing to take respond to the COVID-19 survey questions.,All virtual course,Lecture capture,,,Easy,Sometimes,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,,,
4,I do not want to respond to the COVID-19 survey questions.,,,,,,,,,,,,,,,,
5,I am willing to take respond to the COVID-19 survey questions.,All in-person lectures and small groups,Both in person & lecture capture,Not as interactive as in person class,Higher threshold for deciding to speak up.,Difficult,Rarely,Strongly agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,,,
6,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,They are good. ,It was harder than in person I would think but was still good.,Difficult,Rarely,Agree,Disagree,Disagree,Agree,Strongly disagree,Neutral,Strongly agree,,,
7,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,,Very easy,Often,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,"I do not have a strong sense of belonging to this institution. I still do not know where many of the buildings are located, there are many of my classmates whom I have never interacted with (virtually or in-person), and I have been extremely limited in exploring extra-curricular experiences to enrich my education (i.e. shadowing, finding mentors).",,,
8,I am willing to take respond to the COVID-19 survey questions.,All virtual course,Lecture capture,Very interactive,Better than in person,Easy,Never,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly agree,,,
9,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,Interactive enough ,It was great. I would honestly prefer zoom small groups over in-person small groups because of the convenience of screen sharing. This is especially true for histology sessions.,Very easy,Never,Agree,Disagree,Agree,Neutral,Strongly agree,Disagree,Strongly agree,,,
10,I am willing to take respond to the COVID-19 survey questions.,All in-person lectures and small groups,Both in person & lecture capture,"Depends on the lecturer, but they are mostly not interactive",Horrible. Zoom allowed some students to not participate by keeping their cameras off and staying muted.,Difficult,Never,Agree,Agree,Neutral,Strongly agree,Agree,Disagree,Strongly agree,,,
11,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Both in person & lecture capture,"Was not in preclinical at the time, but not very interactive in my PhD courses. ","Not as strong as in-person, some students did not participate (again, grad school, not preclinical). ",Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,,,,,
12,I am willing to take respond to the COVID-19 survey questions.,All virtual course,Lecture capture,it was fine,it was fine,Easy,Rarely,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,,,,
13,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,Somewhat more able to ask questions freely,It was nice to be with a smaller group of classmates but it also made it harder to connect with other classmates,Very difficult,Rarely,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,,,
14,I am willing to take respond to the COVID-19 survey questions.,All virtual course,Lecture capture,Is interactive as in person would be.,"Amazing, I prefer to continue with small groups via Zoom.",Very easy,Never,Agree,Strongly disagree,Agree,Agree,Disagree,Disagree,Strongly agree,,,
15,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Virtual real-time lecture,They were interactive enough for me,It was not ideal but definitely manageable. I feel like I had a valuable online small group experience because my small group put in the effort to meet in person as well. ,Difficult,Rarely,Strongly agree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,,,
16,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Lecture capture,Minimally ,Moderate ,Difficult,Rarely,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Neutral,,,
17,I am willing to take respond to the COVID-19 survey questions.,All virtual course,Lecture capture,Pretty interactive,Good because of ease of accessibility,Neither difficult nor easy,Rarely,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Agree,,,
18,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,In person,All days,"Lectures are somewhat interactive. Even in zoom I am quite involved in lecture, but I feel that many folks are less interactive in zoom lecture.","It was quite good. I enjoyed my small group, and we thrived via zoom.",Very easy,Rarely,Strongly agree,Neutral,Agree,Neutral,Strongly disagree,Disagree,Strongly agree,,
19,I do not want to respond to the COVID-19 survey questions.,,,,,,,,,,,,,,,,
20,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,,It was fine,Difficult,Never,Strongly agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Agree,,,
21,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Virtual real-time lecture,,Neither difficult nor easy,Sometimes,Agree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,,,,
22,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Both in person & lecture capture,not very,great!,Neither difficult nor easy,Never,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly disagree,Agree,,,
23,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,"Somewhat, usually interactions limited to a few students. ","Great within my small group, not as good when small groups came together bc people did not speak up much.",Easy,Never,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Agree,,,
24,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,,,Difficult,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Agree,,,
25,I do not want to respond to the COVID-19 survey questions.,,,,,,,,,,,,,,,,
26,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,did not do - application / individualization phase during covid,did not do - application / individualization phase during covid,,,,,,,,,,,,
27,I am willing to take respond to the COVID-19 survey questions.,All in-person lectures and small groups,In person,All days,"the chat feature was very helpful, I felt that it was interactive",fine,Easy,Rarely,Strongly agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,,
28,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,Fairly,Not bad,Easy,Sometimes,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,,,
29,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Virtual real-time lecture,"Not very interactive, although some are more than others depending on the lecturer","It was ok, definitely convinient. But in person is much better.",Easy,Rarely,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,,,
30,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Both in person & lecture capture,"very interactive, there are small group break out rooms, opportunities to talk with facilitators, interactive chat.",very good! ,Easy,Often,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Agree,,,
31,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,can be interactive but makes for an awkward learning environment (depersonalized) ,it felt distant ,Neither difficult nor easy,Never,Strongly agree,Agree,Neutral,Agree,Neutral,Strongly disagree,Neutral,,,
32,I am willing to take respond to the COVID-19 survey questions.,All in-person lectures and small groups,In person,All days,it wasn't much,better,Neither difficult nor easy,Never,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Neutral,Neutral,,
33,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Lecture capture,It is interactive enough for me. Gives me the option to ask questions in a variety of ways (unmute/chat) and also helps with poll questions,"Screen share makes the small group setting work well for some, harder for others. ",Neither difficult nor easy,Rarely,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Agree,,,
34,I am willing to take respond to the COVID-19 survey questions.,All in-person lectures and small groups,In person,3-4 days/week,Fairly interactive.,"As good as we could hope, but certainly worse than in person",Neither difficult nor easy,Never,Strongly agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Strongly agree,,
35,I am willing to take respond to the COVID-19 survey questions.,All virtual course,Virtual real-time lecture,Perhaps more interactive than in person - I have felt like I had more options to ask questions due to the chat feature. Less interactive with other classmates though,Great - we were all able to communicate effectively,Neither difficult nor easy,Never,Strongly agree,Disagree,Strongly agree,Agree,Neutral,Disagree,Agree,,,
36,I am willing to take respond to the COVID-19 survey questions.,All virtual course,Lecture capture,As interactive as you want them to be... ,Great. I cannot imagine it being better or worse than in-person,Easy,Never,Disagree,Strongly disagree,Agree,Strongly agree,Agree,Neutral,Agree,,,
37,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,"I appreciate that if you watch the lecture in real time, you can comment any questions you have as the lecturer speaks. However, sometimes this was used to a distracting amount.","It was initially difficult to get comfortable over Zoom, but we quickly got into a good routine as a group. The larger group sessions with our college small groups varied in how helpful they were, and interacting with faculty was more difficult. ",Easy,Never,Strongly agree,Agree,Agree,Agree,Neutral,Disagree,Strongly agree,,,
38,I am willing to take respond to the COVID-19 survey questions.,All in-person lectures and small groups,Both in person & lecture capture,,Neither difficult nor easy,Rarely,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,,,,
39,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,Not very,Less than ideal - difficult to generate group camaraderie if you haven't all met in person,Difficult,Sometimes,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,,,
40,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Both in person & lecture capture,,Easy,Sometimes,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Strongly agree,,,,
41,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,,More comfortable than going in person since I could do my own thing when things were moving slow. I was able to use my time more effectively than Iâ€™ll be able to this year. ,Neither difficult nor easy,Never,Strongly agree,Strongly disagree,Agree,Strongly agree,Disagree,Strongly disagree,Agree,,,
42,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,,,Neither difficult nor easy,Sometimes,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly disagree,Agree,,,
43,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Virtual real-time lecture,Good,Good,Easy,Never,Agree,Disagree,Strongly agree,Agree,Agree,Strongly disagree,Agree,,,
44,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,not very,not great,Difficult,Never,Strongly agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,I have not made many friends,,
45,I am willing to take respond to the COVID-19 survey questions.,All virtual course,Both in person & lecture capture,"It varies depending on the teacher, it definitely can be interactive it just depends on teachers/students take advantage.",Loved it.,Easy,Rarely,Strongly agree,Strongly disagree,Strongly agree,Neutral,Neutral,Disagree,Strongly agree,,,
46,I am willing to take respond to the COVID-19 survey questions.,All virtual course,Lecture capture,Equally as interactive as in-person,"Great, convenient, and more productive. The lack of commute made it significantly easier to transition into studying following small groupâ€™s conclusion. It also allowed more prep time for small group.",Easy,Sometimes,Strongly disagree,Strongly disagree,Agree,Agree,Neutral,Disagree,Disagree,,,
47,I do not want to respond to the COVID-19 survey questions.,,,,,,,,,,,,,,,,
48,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Both in person & lecture capture,"I don't like to be interactive on Zoom, but other students did and that felt fine to me","Not bad! I formed great relationships with my peers through Zoom, surprisingly, and these are some of my closest friends in my med school class now. I think I will enjoy in-person small groups even more though. Meeting with faculty was harder, but I didn't put much effort into this.",Easy,Rarely,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Strongly agree,,,
49,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,Fairly interactive,It worked better than I would have imagined,Easy,Never,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,,,
50,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,"Fairly interactive, it can be very easy to give clear distinct responses over chat for example. Polls also feel very intuitive.",This felt a bit more difficult as picking up body language and things is difficult as well as not being as easy to share work/in-person materials. ,Easy,Rarely,Agree,Disagree,Strongly agree,Agree,Neutral,Agree,Neutral,I think it is somewhat difficult to connect the concept of being a medical student to actually being a physician especially with fewer opportunities to be present in actual health care environments. ,,
51,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Lecture capture,can be difficult to ask questions,worked well ,Easy,Never,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,,,
52,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Both in person & lecture capture,Not very,Fine,Difficult,Never,Agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,,,
53,I am willing to take respond to the COVID-19 survey questions.,All virtual course,Lecture capture,"It depends; if lecturers have questions built in and use the quiz feature, they are AWESOME.",I had a great experience as groups were actually able to work together by sharing one stream.,Very easy,Rarely,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,,,
54,I am willing to take respond to the COVID-19 survey questions.,All in-person lectures and small groups,In person,All days,,,Difficult,Never,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,"People have mentioned camaraderie between peers that follows us into our professional lives, where you know you will be able to call one of your colleagues in the future and get their opinion on a clinical case, as an example. I do not feel that camaraderie or see that future connection since I barely know or have met many of my classmates and feel like nobody knows me.",
55,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Virtual real-time lecture,Very. I love Zoom. ,It worked really well. ,Easy,Sometimes,Strongly disagree,Strongly disagree,Neutral,Neutral,Disagree,Neutral,Agree,,,
56,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,Fairly interactive,Easy and convenient,Neither difficult nor easy,Never,Agree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Neutral,Strongly disagree,,,
57,I am willing to take respond to the COVID-19 survey questions.,All in-person lectures and small groups,In person,All days,,,Neither difficult nor easy,Never,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,,
58,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,Not very; depends on the instructor's level of expertise and intention,Hit or miss,Neither difficult nor easy,Never,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,,,
59,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Lecture capture,,,Difficult,Rarely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,,,
60,I am willing to take respond to the COVID-19 survey questions.,All in-person lectures and small groups,Both in person & lecture capture,Less,Worse,Difficult,Sometimes,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Strongly agree,,,
61,I am willing to take respond to the COVID-19 survey questions.,,,,,,,,,,,,,,,,
62,I am willing to take respond to the COVID-19 survey questions.,,,,,,,,,,,,,,,,
63,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Both in person & lecture capture,,,,,,,,,,,,,,
64,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,They are interactive enough where students are able to chime in and ask questions freely using the chat without interrupting the lecturer. I appreciate that aspect of it.,"Not great, I didn't get to interact with group members how I would have liked to.",Difficult,Never,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly disagree,Neutral,Community activities and socializing were very limited during the first year of graduate school. This was hard.,,
65,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,,,,,,,,,,,,,,
66,I am willing to take respond to the COVID-19 survey questions.,,,,,,,,,,,,,,,,
67,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,,,,,,,,,,,,,,
68,I do not want to respond to the COVID-19 survey questions.,,,,,,,,,,,,,,,,
69,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Virtual real-time lecture,,,,,,,,,,,,,,
70,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Lecture capture,,,,,,,,,,,,,,
71,I do not want to respond to the COVID-19 survey questions.,,,,,,,,,,,,,,,,
72,I am willing to take respond to the COVID-19 survey questions.,,,,,,,,,,,,,,,,
73,I am willing to take respond to the COVID-19 survey questions.,All in-person lectures and small groups,In person,3-4 days/week,"they are interactive, but I never used the interactive functions","okay, but not great.",Neither difficult nor easy,Rarely,Strongly agree,Strongly disagree,Agree,Agree,Neutral,Disagree,Agree,,
74,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,,,,,,,,,,,,,,
75,I am willing to take respond to the COVID-19 survey questions.,All in-person lectures and small groups,In person,,,,,,,,,,,,,,
76,I am willing to take respond to the COVID-19 survey questions.,All virtual course,Lecture capture,I think better than in-person,"it was fine, in-person or remote, no difference ",Easy,Rarely,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Disagree,Strongly agree,,,
77,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,,,,,,,,,,,,,,
78,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Both in person & lecture capture,,Very easy,,,Strongly disagree,,,,Strongly agree,,,,,
79,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,,,,,,,,,,,,,,
80,I am willing to take respond to the COVID-19 survey questions.,All in-person lectures and small groups,Both in person & lecture capture,,,,,,,,,,,,,,
81,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Virtual real-time lecture,,,,,,,,,,,,,,
82,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,,,,,,,,,,,,,,
83,I am willing to take respond to the COVID-19 survey questions.,,,,,,,,,,,,,,,,
84,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Both in person & lecture capture,,,,,,,,,,,,,,
85,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,Not very,Small groups were challenging over Zoom. It was easy for students to keep their cameras off and remain muted.,Very difficult,Never,Agree,Neutral,Agree,Strongly agree,Neutral,Disagree,Strongly agree,,,
86,I am willing to take respond to the COVID-19 survey questions.,All in-person lectures and small groups,In person,All days,it depends on the level of comfortableness of the students to ask questions on a zoom meeting. It also depends on the professor but so far they are not very interactive,It was okay we got a sister going but they usually were to short in time and we had to rush. ,Very difficult,Never,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,I am extremely jaded with the med school curriculum. The school seems to want to prepare us for STEP 1 above making us competent and caring physicians. I don't really know what makes a person feel that they belong. I imagine that it is being a part of costume and traditions. So far we have not done any of them because of covid but they also don't seem like they are intending to make them happen in the future. ,
87,I am willing to take respond to the COVID-19 survey questions.,All in-person lectures and small groups,In person,,,,,,,,,,,,,,